date,open,high,low,close,volume,market_cap,3_day_vol_avg,7_day_vol_avg,14_day_vol_avg,20_day_vol_avg,3_day_close_avg,7_day_close_avg,14_day_close_avg,20_day_close_avg,high_minus_low,open_to_close,sp500_close,sp500_volume,sp500_increased_since_yesterday,sp500_close_increases_tomorrow,increase_flag,percent_change
17441,302.48,302.92,294.58,297.48,339443000,28708500000,326022333.3,416768714.3,465896214.3,641573400,300.4266667,297.9728571,288.3014286,278.4735,8.34,5,"2,534.58",3068850000,1,1,0,-1.69
17440,301.55,303.19,295.06,302.34,306185000,28615200000,393333000,437299857.1,522203857.1,662258450,298.4233333,297.2371429,288.0171429,278.1725,8.13,-0.79,2529.120117,3199730000,1,1,0,-1.61
17439,291.48,303.96,291.11,301.46,332439000,27655200000,458569333.3,475189285.7,530865785.7,675514550,297.36,294.4,284.4035714,277.782,12.85,-9.98,2519.360107,3211920000,1,1,1,0.29
17438,299.12,299.92,279.77,291.47,541375000,28375900000,531171000,492117142.9,557958500,693808900,299.03,292.2157143,280.4792857,277.1465,20.15,7.65,2519.360107,3211920000,1,1,1,3.43
17437,306.47,307.2,295.47,299.15,501894000,29068700000,465979666.7,476218000,657553142.9,693171200,297.6866667,288.3357143,277.55,277.293,11.73,7.32,2519.360107,3211920000,1,1,0,-2.57
17436,287.02,308.01,286.82,306.47,550244000,27219400000,459735333.3,490414000,706317142.9,723015500,295.4133333,282.54,271.4614286,277.1605,21.19,-19.45,2510.060059,3168620000,1,1,0,-2.39
17435,292.35,293.75,287.02,287.44,345801000,27720000000,466791000,472008285.7,732849142.9,731434500,287.4166667,279.2928571,269.3642857,278.3085,6.73,4.91,2507.040039,3456030000,1,1,1,6.62
17434,282.22,293.51,281.88,292.33,483161000,26755500000,501835333.3,515023714.3,761945071.4,767085950,286.9933333,278.63,269.6514286,280.6535,11.63,-10.11,2496.840088,3043110000,1,1,0,-1.67
17433,286.21,292.95,278.13,282.48,571411000,27129900000,484142000,607107857.1,768241214.3,820480400,277.6533333,278.7971429,269.8085714,281.6865,14.82,3.73,2496.659912,3297890000,0,1,1,3.49
17432,264.6,286.17,261.12,286.17,450934000,25077100000,494093666.7,586542285.7,777306571.4,881994350,269.6866667,274.4071429,270.2564286,282.321,25.05,-21.57,2502.219971,2865960000,1,0,0,-1.29
17431,258.11,270.54,256.22,264.31,430081000,24458400000,484250333.3,623799857.1,782855642.9,908760950,268.8766667,268.7428571,270.8442857,285.3865,14.32,-6.2,2502.219971,2865960000,1,1,1,8.27
17430,283.26,286.61,255.02,258.58,601266000,26836000000,556526333.3,838888285.7,830619857.1,961436900,275.04,266.7642857,273.1435714,289.62,31.59,24.68,2502.219971,2865960000,1,1,1,2.22
17429,282.01,290.89,278.05,283.74,421404000,26712400000,732021000,922220285.7,839002571.4,975084700,286.68,260.3828571,278.2042857,296.078,12.84,-1.73,2500.600098,2930860000,0,1,0,-8.87
17428,293.66,295.77,274.48,282.8,646909000,27809300000,734037000,993690000,884533000,989327200,276.0166667,259.4357143,281.8185714,301.043,21.29,10.86,2508.23999,3530010000,1,0,1,0.33
17427,252.23,293.5,252.23,293.5,1127750000,23881200000,755646333.3,1008866429,949114500,1023647750,263.9233333,260.6728571,283.975,305.8275,41.27,-41.27,2506.649902,3249100000,1,1,0,-3.65
17426,245.85,257,235.24,251.75,427452000,23272500000,1024963000,929374571.4,997253071.4,1028261750,249.5766667,260.82,284.0942857,309.686,21.76,-5.9,2503.870117,3194300000,1,1,1,16.58
17425,250.87,262.59,238.22,246.52,711737000,23742600000,1277342333,968070857.1,1037168357,1049605100,236.9633333,266.1057143,290.9321429,314.486,24.37,4.35,2500.22998,4853170000,1,1,1,2.12
17424,215.22,258.65,195.03,250.46,1935700000,20364900000,1347327333,941911428.6,1092301429,1045686750,247.16,272.9457143,298.2507143,319.5545,63.62,-35.24,2500.22998,4853170000,1,1,0,-1.57
17423,276.59,280.84,213.91,213.91,1184590000,26166100000,953142000,822351428.6,1016481571,974610800,260.8266667,279.5228571,308.0564286,323.7255,66.93,62.68,2500.22998,4853170000,1,1,1,17.09
17422,291.12,291.12,260.61,277.11,921692000,27535700000,748714333.3,755784857.1,982314714.3,953397750,287.7,296.0257143,320.1371429,329.626,30.51,14.01,2495.620117,3414460000,0,1,0,-22.81
17421,294.63,311.19,287.23,291.46,753144000,27861800000,674259000,775376000,1011716714,942196400,291.58,304.2014286,327.3785714,332.051,23.96,3.17,2498.370117,3368050000,1,0,0,-4.92
17420,289.75,300.69,286.69,294.53,571307000,27394400000,599418000,889362571.4,1045065714,945138700,292.56,307.2771429,333.0364286,333.354,14,-4.78,2496.47998,3230920000,1,1,0,-1.04
17419,294.06,294.76,268.97,288.75,698326000,27797200000,775242333.3,1065131571,1065280857,983393350,293.2166667,307.3685714,336.8378571,334.367,25.79,5.31,2488.110107,3291760000,1,1,1,2.00
17418,296.17,299.89,287.22,294.4,528621000,27990500000,782008333.3,1106265857,1060641143,1070925550,306.7766667,315.7585714,341.0621429,336.009,12.67,1.77,2461.429932,3302490000,1,1,0,-1.92
17417,329.64,329.64,285.16,296.5,1098780000,31147200000,958744666.7,1242691429,1059609714,1073091850,320.09,323.5557143,343.8821429,336.3605,44.48,33.14,2461.429932,3302490000,1,1,0,-0.71
17416,333.52,333.52,319.94,329.43,718624000,31507500000,1109501333,1210611714,1035434643,1061162950,325.5866667,336.59,346.4121429,336.409,13.58,4.09,2461.429932,3302490000,0,1,0,-10.00
17415,313.8,334.66,313.49,334.34,1058830000,29639100000,1470523333,1208844571,1033937571,1072039750,314.1666667,344.2485714,346.1392857,334.717,21.17,-20.54,2465.100098,3353930000,0,0,0,-1.47
17414,297.57,318.57,268.29,312.99,1551050000,28100000000,1446335333,1248057429,1016306143,1064572950,318.5466667,350.5557143,344.9378571,333.073,50.28,-15.42,2465.540039,3374410000,1,0,1,6.82
17413,347.13,347.13,279.94,295.17,1801690000,32774000000,1423852000,1200768857,1000974000,1035402600,330.5433333,358.7957143,345.0664286,332.537,67.19,51.96,2457.850098,3490260000,0,1,1,6.04
17412,350.23,366.49,332.23,347.48,986266000,33059800000,1114696000,1065430143,1047208286,997908100,361.4,366.3071429,346.9535714,332.2695,34.26,2.75,2476.550049,2710730000,1,0,0,-15.05
17411,387.82,389.35,328.1,348.98,1483600000,36601200000,1021358667,1015016429,1017614071,991814350,373.2533333,366.3657143,343.6642857,329.9005,61.25,38.84,2476.550049,2710730000,1,1,0,-0.43
17410,383.47,390.04,383.47,387.74,874222000,36182900000,971265333.3,876528000,973085642.9,986102850,383.09,364.2085714,339.985,327.3545,6.57,-4.27,2476.550049,2710730000,1,1,0,-10.00
17409,378.44,386.14,376.35,383.04,706254000,35701500000,1086534667,860257571.4,977509785.7,997974250,377.4,356.2342857,333.4028571,323.4975,9.79,-4.6,2476.550049,2710730000,1,1,1,1.23
17408,369.47,388.75,361.97,378.49,1333320000,34848400000,1135889667,859030571.4,992026928.6,1010340350,365.6366667,348.03,327.5757143,319.7885,26.78,-9.02,2471.649902,3348110000,1,1,1,1.20
17407,347.96,373.76,347.79,370.67,1220030000,32813200000,902573000,784554857.1,965907142.9,997515350,355.4366667,339.32,322.1314286,315.6585,25.97,-22.71,2457.590088,2633660000,1,1,1,2.11
17406,350.04,352.05,338.41,347.75,854319000,33002700000,667290000,801179142.9,953890714.3,1068442850,343.1733333,331.3371429,316.3564286,311.9265,13.64,2.29,2446.300049,2737580000,1,1,1,6.59
17405,334.36,347.89,334.36,347.89,633370000,31517500000,635960000,1028986429,954610142.9,1100847400,337.8966667,327.6,312.9528571,309.3775,13.53,-13.53,2444.23999,2677700000,1,1,0,-0.04
17404,331.99,334.99,327.92,333.88,514181000,31288300000,657391666.7,1020211714,1007181571,1115965250,330.47,320.9628571,309.3935714,305.442,7.07,-1.89,2443.050049,2588780000,1,1,1,4.20
17403,326.11,336.4,325.8,331.92,760329000,30727900000,756661333.3,1069643286,1049857929,1164405200,325.0166667,315.7614286,307.7307143,301.8265,10.6,-5.81,2443.050049,2588780000,1,1,1,0.59
17402,317.45,327.96,317.08,325.61,697665000,29904600000,948685000,1094762000,1063661286,1193038750,319.3066667,310.5714286,306.0835714,298.056,10.88,-8.16,2443.050049,2588780000,1,1,1,1.94
17401,315.27,324.21,314.54,317.52,811990000,29691900000,1532453333,1125023286,1090743786,1185144650,317.9666667,307.1214286,303.9607143,292.929,9.67,-2.25,2438.969971,2846590000,0,1,1,2.55
17400,321.06,327.36,297.91,314.79,1336400000,30229900000,1452439000,1147259429,1221214500,1172406000,312.6033333,304.9428571,302.4257143,288.32,29.45,6.27,2444.040039,2785290000,0,0,1,0.87
17399,300.48,347.05,297.23,321.59,2448970000,28285500000,1293706333,1106602286,1233072357,1137216300,306.83,301.3757143,301.1385714,283.578,49.82,-21.11,2452.51001,2777490000,1,0,0,-2.11
17398,296.64,301.43,291.58,301.43,571947000,27918100000,789436333.3,880233857.1,1124983571,1094034300,298.1633333,298.3057143,297.395,278.837,9.85,-4.79,2428.370117,2788150000,1,1,1,6.69
17397,296.18,301.67,286.18,297.47,860202000,27867900000,901952000,994151428.6,1190057357,1093907650,298.1733333,297.8242857,294.5478571,273.959,15.49,-1.29,2425.550049,3415680000,1,1,1,1.33
17396,301.7,307.96,292.5,295.59,936160000,28380200000,937765666.7,1030072571,1223828643,1080709250,299.7733333,299.7,291.6221429,268.9845,15.46,6.11,2425.550049,3415680000,1,1,1,0.64
17395,302.81,311.03,300.25,301.46,909494000,28477500000,976312333.3,1032560571,1195516000,1075119000,297.85,301.5957143,286.4421429,264.4945,10.78,1.35,2425.550049,3415680000,0,1,0,-1.95
17394,289.82,303.41,285.38,302.27,967643000,27249700000,961278000,1056464286,1170353357,1057772850,297.3966667,300.8,281.005,259.0775,18.03,-12.45,2430.01001,3142620000,0,0,0,-0.27
17393,299.95,300.41,279.33,289.82,1051800000,28195800000,1095187000,1295169571,1146422143,1029054850,295.9933333,299.9085714,275.125,254.18,21.08,10.13,2468.110107,2953650000,1,0,1,4.30
