date,open,high,low,close,volume,market_cap,increase_flag,percent_change
17442,297.48,300.11,288.13,292.46,321680000,28238500000,0,-1.6875084039263273
17441,302.48,302.92,294.58,297.48,339443000,28708500000,0,-1.6074617979757746
17440,301.55,303.19,295.06,302.34,306185000,28615200000,1,0.29191269156770233
17439,291.48,303.96,291.11,301.46,332439000,27655200000,1,3.4274539403712048
17438,299.12,299.92,279.77,291.47,541375000,28375900000,0,-2.5672739428380242
17437,306.47,307.20,295.47,299.15,501894000,29068700000,0,-2.3884882696512055
17436,287.02,308.01,286.82,306.47,550244000,27219400000,1,6.620512106874489
17435,292.35,293.75,287.02,287.44,345801000,27720000000,0,-1.6727670783019146
17434,282.22,293.51,281.88,292.33,483161000,26755500000,1,3.486972529028592
17433,286.21,292.95,278.13,282.48,571411000,27129900000,0,-1.2894433378760868
17432,264.60,286.17,261.12,286.17,450934000,25077100000,1,8.270591351065042
17431,258.11,270.54,256.22,264.31,430081000,24458400000,1,2.215948642586441
17430,283.26,286.61,255.02,258.58,601266000,26836000000,0,-8.867272855431036
17429,282.01,290.89,278.05,283.74,421404000,26712400000,1,0.3323903818953316
17428,293.66,295.77,274.48,282.80,646909000,27809300000,0,-3.6456558773424153
17427,252.23,293.50,252.23,293.50,1127750000,23881200000,1,16.583912611717974
17426,245.85,257.00,235.24,251.75,427452000,23272500000,1,2.121531721564169
17425,250.87,262.59,238.22,246.52,711737000,23742600000,0,-1.5731054859059321
17424,215.22,258.65,195.03,250.46,1935700000,20364900000,1,17.086625216212433
17423,276.59,280.84,213.91,213.91,1184590000,26166100000,0,-22.80682761358306
17422,291.12,291.12,260.61,277.11,921692000,27535700000,0,-4.923488643381585
17421,294.63,311.19,287.23,291.46,753144000,27861800000,0,-1.0423386412250002
17420,289.75,300.69,286.69,294.53,571307000,27394400000,1,2.0017316017315925
17419,294.06,294.76,268.97,288.75,698326000,27797200000,0,-1.9191576086956448
17418,296.17,299.89,287.22,294.40,528621000,27990500000,0,-0.7082630691399739
17417,329.64,329.64,285.16,296.50,1098780000,31147200000,0,-9.99605378987949
17416,333.52,333.52,319.94,329.43,718624000,31507500000,0,-1.4685649338996136
17415,313.80,334.66,313.49,334.34,1058830000,29639100000,1,6.821304195022194
17414,297.57,318.57,268.29,312.99,1551050000,28100000000,1,6.03719890232747
17413,347.13,347.13,279.94,295.17,1801690000,32774000000,0,-15.054103833314148
17412,350.23,366.49,332.23,347.48,986266000,33059800000,0,-0.4298240586853115
17411,387.82,389.35,328.10,348.98,1483600000,36601200000,0,-9.996389333058232
17410,383.47,390.04,383.47,387.74,874222000,36182900000,1,1.2270258980785267
17409,378.44,386.14,376.35,383.04,706254000,35701500000,1,1.2021453671167035
17408,369.47,388.75,361.97,378.49,1333320000,34848400000,1,2.1096932581541514
17407,347.96,373.76,347.79,370.67,1220030000,32813200000,1,6.5909417685118665
17406,350.04,352.05,338.41,347.75,854319000,33002700000,0,-0.040242605421249925
17405,334.36,347.89,334.36,347.89,633370000,31517500000,1,4.196118365879954
17404,331.99,334.99,327.92,333.88,514181000,31288300000,1,0.5905037358399552
17403,326.11,336.40,325.80,331.92,760329000,30727900000,1,1.9379011701114839
17402,317.45,327.96,317.08,325.61,697665000,29904600000,1,2.5478710002519627
