Date,Open,High,Low,Close,Volume,Market Cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,increase_flag,tomorrow_percent_change
3-Oct-17,36.65,36.79,32.01,33.61,"74,199,600","1,832,530,000",-8.2946794,"87,489,033","97,366,429","84,062,630","56,800,335",35.35666667,32.92428571,30.266,24.747,1,2.913165266
2-Oct-17,35.7,39.01,34.9,36.74,"116,098,000","1,785,160,000",2.913165266,"90,149,700","96,176,286","78,364,350","54,953,275",35.55666667,31.89142857,28.923,24.0695,1,4.68933177
1-Oct-17,34.12,35.83,31.82,35.72,"72,169,500","1,705,880,000",4.68933177,"75,636,467","91,194,500","69,002,570","51,183,490",32.85666667,30.36,27.118,23.281,1,19.65722281
30-Sep-17,28.59,34.24,28.45,34.21,"82,181,600","1,429,500,000",19.65722281,"85,311,633","82,594,171","63,944,360","48,966,780",30.87,28.08428571,25.291,22.589,1,-5.32231405
29-Sep-17,30.25,30.41,26.13,28.64,"72,558,300","1,512,530,000",-5.32231405,"112,305,433","73,313,486","57,132,020","47,557,825",30.06333333,26.08,23.845,22.016,0,-6.356198867
28-Sep-17,31.78,32.69,27.68,29.76,"101,195,000","1,589,170,000",-6.356198867,"110,075,533","66,159,471","52,921,380","46,289,885",29.31,24.65857143,22.975,21.682,0,20.78267477
27-Sep-17,26.32,34.03,26.32,31.79,"163,163,000","1,316,040,000",20.78267477,"103,419,033","54,786,957","45,566,640","46,842,735",28.06333333,22.9,22.121,21.437,1,0.995405819
26-Sep-17,26.12,27.3,24.46,26.38,"65,868,600","1,305,990,000",0.995405819,"53,020,433","33,486,271","31,119,850","49,384,635",24.06333333,21.18,20.928,21.3865,1,31.41414141
25-Sep-17,19.8,27.08,19.8,26.02,"81,225,500","989,892,000",31.41414141,"36,803,167","28,426,743","29,553,990","49,978,520",21.99666667,20.26,20.366,21.1355,1,-1.883986118
24-Sep-17,20.17,20.43,19.28,19.79,"11,967,200","1,008,660,000",-1.883986118,"17,221,400","20,772,757","26,512,610","50,487,360",19.55333333,19.57428571,19.638,20.9745,0,8.611410118
