Date,Open,High,Low,Close,Volume,Market Cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,bitcoin_close,7_day_btcn_avg,10_day_btcn_avg,btcn_pcnt_chng,sp500_close,7_day_sp500_avg,10_day_sp500_avg,sp500_pcnt_chng,increase_flag,tomorrow_percent_change
20171003,36.65,36.79,32.01,33.61,74199600,1832530000,-8.519324986,87489033.33,97366428.57,84062630,56800335,35.36,32.92,30.27,24.75,4317.48,4212.964286,4089.206,-1.958789574,2534.58,2519.840077,2513.460051,0.215880731,0,-7.289497173
20171002,35.7,39.01,34.9,36.74,116098000,1785160000,2.855543113,90149700,96176285.71,78364350,54953275,35.56,31.89,28.92,24.07,4403.74,4157.048571,4020.528,1.498832602,2529.120117,2514.448661,2510.224048,0.387400355,0,-8.519324986
20171001,34.12,35.83,31.82,35.72,72169500,1705880000,4.41391406,75636466.67,91194500,69002570,51183490,32.86,30.36,27.12,23.28,4338.71,4054.062857,3943.258,4.219001842,2519.360107,2509.811488,2507.534033,0,1,2.855543113
20170930,28.59,34.24,28.45,34.21,82181600,1429500000,19.44832402,85311633.33,82594171.43,63944360,48966780,30.87,28.08,25.29,22.59,4163.07,3976.018571,3899.982,-0.2792995,2519.360107,2507.362898,2505.658032,0,1,4.41391406
20170929,30.25,30.41,26.13,28.64,72558300,1512530000,-3.76344086,112305433.3,73313485.71,57132020,47557825,30.06,26.08,23.85,22.02,4174.73,3899.965714,3876.172,-0.617520538,2519.360107,2504.914307,2504.546021,0.370510975,1,19.44832402
20170928,31.78,32.69,27.68,29.76,101195000,1589170000,-6.385655867,110075533.3,66159471.43,52921380,46289885,29.31,24.66,22.98,21.68,4200.67,3822.295714,3865.219,7.921178722,2510.060059,2502.465716,2503.275,0.120461578,0,-3.76344086
20170927,26.32,34.03,26.32,31.79,163163000,1316040000,20.50796058,103419033.3,54786957.14,45566640,46842735,28.06,22.9,22.12,21.44,3892.35,3780.192857,3803.44,-0.858874141,2507.040039,2501.114293,2502.656006,0.408514388,0,-6.385655867
20170926,26.12,27.3,24.46,26.38,65868600,1305990000,1.383551115,53020433.33,33486271.43,31119850,49384635,24.06,21.18,20.93,21.39,3926.07,3784.852857,3776.709,6.604413985,2496.840088,2501.285714,2501.975,0.007216682,1,20.50796058
20170925,19.8,27.08,19.8,26.02,81225500,989892000,31.48054573,36803166.67,28426742.86,29553990,49978520,22,20.26,20.37,21.14,3682.84,3804.728571,3747.854,-2.888935766,2496.659912,2502.687116,2502.313989,-0.222205044,1,1.383551115
20170924,20.17,20.43,19.28,19.79,11967200,1008660000,-1.932606541,17221400,20772757.14,26512610,50487360,19.55,19.57,19.64,20.97,3792.4,3790.448571,3695.065,4.453686617,2502.219971,2503.717146,2502.670996,0,1,31.48054573
20170923,18.58,20.59,18.3,20.18,17216800,929086000,7.972177635,20428133.33,21733885.71,29538040,59384850,18.77,19.58,19.23,21.08,3630.7,3766.54,3704.084,-0.009363708,2502.219971,2503.432861,2502.011011,0,0,-1.932606541
20170922,17.39,19.32,16.98,18.69,22480200,869657000,7.106017192,19375266.67,26447200,31542200,60685625,18.63,19.67,19.22,21.58,3631.04,3767.514286,3754.095,-7.038236537,2502.219971,2503.148577,2501.626025,0.06477937,1,7.972177635
20170921,19.65,19.82,16.75,17.45,21587400,982515000,-11.64556962,22032500,30494557.14,33364410,64197745,19.05,19.67,19.44,22.24,3905.95,3699.501429,3807.118,-0.484589691,2500.600098,2502.864292,2501.052026,-0.304591747,1,7.106017192
20170920,19.9,20.47,19.69,19.75,14058200,995012000,-0.952858576,24052566.67,33442285.71,33989200,66889320,20.3,19.42,19.89,22.96,3924.97,3696.164286,3828.817,-3.449522779,2508.23999,2502.152867,2499.803027,0.063434786,0,-11.64556962
20170919,20.99,21.71,19.04,19.94,30451900,1049420000,-6.03204524,25598200,36756600,37983630,68684275,20.34,19.47,20.19,23.63,4065.2,3725.57,3858.926,13.4617961,2506.649902,2500.742885,2495.122021,0.111019537,0,-0.952858576
20170918,19.91,21.38,19.54,21.22,27647600,995579000,6.847935549,32184233.33,38220942.86,39658390,72026160,20.61,19.61,20.39,24.29,3582.88,3739.294286,3875.281,-1.163021649,2503.870117,2499.290039,2490.600024,0.145592087,0,-6.03204524
20170917,20.64,20.64,18.36,19.86,18695100,1031920000,-4.335260116,39905600,38247757.14,48118830,79070480,19.79,19.71,20.75,24.91,3625.04,3816.445714,3976.981,-0.343090897,2500.22998,2497.038609,2486.356006,0,1,6.847935549
20170916,18.75,22.98,18.5,20.76,50210000,937288000,10.77908218,47747733.33,43291671.43,67649420,80205775,18.4,20.12,21.85,25.84,3637.52,3902.305714,4074.189,15.29564652,2500.22998,2491.495745,2482.843018,0,0,-4.335260116
20170915,15.81,19.12,13.32,18.74,50811700,790612000,19.43913321,43430533.33,42861600,70403050,80227755,18.16,20.29,21.91,26.81,3154.95,3986.767143,4148.09,-18.74109808,2500.22998,2485.952881,2479.374023,0.184718138,1,10.77908218
20170914,20.08,20.75,14.95,15.69,42221500,1004180000,-21.78464606,40060733.33,51638785.71,74462110,79738060,18.91,21.17,22.31,27.8,3882.59,4193.185714,4256.226,-6.008990973,2495.620117,2480.410017,2475.136035,-0.110071762,1,19.43913321
20170913,20.83,21.29,17.8,20.06,37258400,1041450000,-4.339532666,35265333.33,76178714.29,89231660,80015595,20.97,23.32,22.93,29.03,4130.81,4295.261429,4326.263,-0.731988071,2498.370117,2476.050014,2473.229028,0.075712083,0,-21.78464606
20170912,21.87,23.6,19.86,20.97,40702300,1093590000,-4.15904936,40846700,81962700,89829050,81346450,21.87,23.51,23.95,30.13,4161.27,4330.364286,4371.059,0.929676396,2496.47998,2471.360003,2471.047022,0.336394799,0,-4.339532666
20170911,22.68,23.97,21.7,21.88,27835300,1133790000,-3.824175824,43012433.33,89205557.14,95031080,85899485,22.2,23.77,25.03,31.08,4122.94,4341.084286,4444.133,-2.440097869,2488.110107,2465.841448,2469.054029,1.0839299,0,-4.15904936
20170910,21.76,23.64,19.37,22.75,54002500,1088180000,3.597449909,71151333.33,112360085.7,99789440,87920985,23.19,23.76,26.04,31.78,4226.06,4406.801429,4502.178,-0.063612179,2461.429932,2464.190011,2467.898023,0,0,-3.824175824
