date,open,high,low,close,volume,market_cap,increase_flag,percent_change
20171002,35.7,39.01,34.9,36.74,116098000,1785160000,1,2.913165266
20171001,34.12,35.83,31.82,35.72,72169500,1705880000,1,4.68933177
20170930,28.59,34.24,28.45,34.21,82181600,1429500000,1,19.65722281
20170929,30.25,30.41,26.13,28.64,72558300,1512530000,0,-5.32231405
20170928,31.78,32.69,27.68,29.76,101195000,1589170000,0,-6.356198867
20170927,26.32,34.03,26.32,31.79,163163000,1316040000,1,20.78267477
20170926,26.12,27.3,24.46,26.38,65868600,1305990000,1,0.995405819
20170925,19.8,27.08,19.8,26.02,81225500,989892000,1,31.41414141
20170924,20.17,20.43,19.28,19.79,11967200,1008660000,0,-1.883986118
20170923,18.58,20.59,18.3,20.18,17216800,929086000,1,8.611410118
20170922,17.39,19.32,16.98,18.69,22480200,869657000,1,7.475560667
20170921,19.65,19.82,16.75,17.45,21587400,982515000,0,-11.19592875
20170920,19.9,20.47,19.69,19.75,14058200,995012000,0,-0.753768844
20170919,20.99,21.71,19.04,19.94,30451900,1049420000,0,-5.002382087
20170918,19.91,21.38,19.54,21.22,27647600,995579000,1,6.579608237
20170917,20.64,20.64,18.36,19.86,18695100,1031920000,0,-3.779069767
20170916,18.75,22.98,18.5,20.76,50210000,937288000,1,10.72
20170915,15.81,19.12,13.32,18.74,50811700,790612000,1,18.53257432
20170914,20.08,20.75,14.95,15.69,42221500,1004180000,0,-21.8625498
20170913,20.83,21.29,17.8,20.06,37258400,1041450000,0,-3.696591455
20170912,21.87,23.6,19.86,20.97,40702300,1093590000,0,-4.115226337
20170911,22.68,23.97,21.7,21.88,27835300,1133790000,0,-3.527336861
20170910,21.76,23.64,19.37,22.75,54002500,1088180000,1,4.549632353
20170909,24.63,24.63,21.55,21.96,47199500,1231580000,0,-10.84043849
20170908,30.59,30.59,22.41,24.86,112252000,1529630000,0,-18.73161164
20170907,21.3,33.55,20.54,30.78,214001000,1065110000,1,44.50704225
20170906,22.97,24.32,20.3,21.36,77746300,1148320000,0,-7.00914236
20170905,21.88,23.85,18.93,22.8,91402300,1093860000,1,4.204753199
20170904,30.44,30.44,17.4,21.83,189917000,1522090000,0,-28.28515112
20170903,31.77,32.65,28.58,30.32,43232300,1588690000,0,-4.564054139
20170902,31.69,34.81,28.55,31.72,92722600,1584390000,1,0.094667087
20170901,33.17,33.57,28.87,32.01,75418900,1658680000,0,-3.497135966
20170831,32.93,35.09,32.6,33.16,49957300,1646720000,1,0.69845126
20170830,33.48,35.84,29.71,33.1,97289600,1673910000,0,-1.135005974
20170829,38.46,38.46,30.69,33.66,168534000,1922840000,0,-12.48049922
20170828,40.23,40.31,37.38,38.45,41401000,2011600000,0,-4.424558787
20170827,38.58,41.23,37.42,40.09,50649600,1928770000,1,3.913945049
20170826,40.31,40.52,37.7,38.59,41017800,2015360000,0,-4.266931283
20170825,41.96,42.26,39.78,40.3,47772200,2098230000,0,-3.956148713
20170824,39.92,42.13,39.31,42.05,63875500,1996230000,1,5.335671343
20170823,35.83,44.03,35.25,40,131763000,1791670000,1,11.63829193
20170822,35.16,36.17,31.6,35.85,68265300,1758180000,1,1.962457338
20170821,38.04,38.28,34.15,35.3,85955000,1902060000,0,-7.202944269
20170820,39.63,40.65,38.16,38.19,85862200,1981640000,0,-3.633610901
20170819,38.86,42.22,35.4,39.97,168358000,1943180000,1,2.856407617
20170818,40.85,41.16,31.32,38.85,209845000,2042450000,0,-4.895960832
