date,open,high,low,close,volume,market_cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,bitcoin_close,7_day_btcn_avg,10_day_btcn_avg,btcn_pcnt_chng,sp500_close,7_day_sp500_avg,10_day_sp500_avg,sp500_pcnt_chng,increase_flag,tomorrow_percent_change,tomorrow_price
20171002,0.206077,0.206556,0.199444,0.202676,77412300,7901790000,-1.867023028,61162366.67,99096428.57,78234080,86060430,0.202245667,0.197984571,0.1921048,0.18629885,4403.74,4157.048571,4020.528,1.498832602,2529.120117,2514.448661,2510.224048,0.387400355,1,0.316761728,0.206532
20171001,0.197622,0.207185,0.19617,0.206532,51345500,7577590000,4.557811764,59455333.33,93126471.43,74217320,86915790,0.199222333,0.194957571,0.1891882,0.1866302,4338.71,4054.062857,3943.258,4.219001842,2519.360107,2509.811488,2507.534033,0,0,-1.867023028,0.197529
20170930,0.193824,0.199826,0.193497,0.197529,54729300,7431970000,2.026280177,81660833.33,88729471.43,73441090,91265465,0.195755333,0.190565429,0.1857104,0.18702565,4163.07,3976.018571,3899.982,-0.2792995,2519.360107,2507.362898,2505.658032,0,1,4.557811764,0.193606
20170929,0.196105,0.196203,0.187172,0.193606,72291200,7519420000,-1.287404847,146729066.7,85550528.57,71420320,94383550,0.197678667,0.187758714,0.1841653,0.18780075,4174.73,3899.965714,3876.172,-0.617520538,2519.360107,2504.914307,2504.546021,0.370510975,1,2.026280177,0.196131
20170928,0.202532,0.203271,0.191344,0.196131,117962000,7765860000,-3.525841249,145965566.7,80543885.71,69595810,93328265,0.195183,0.184887857,0.1832088,0.1886202,4200.67,3822.295714,3865.219,7.921178722,2510.060059,2502.465716,2503.275,0.120461578,0,-1.287404847,0.203299
20170927,0.185297,0.207687,0.185098,0.203299,249934000,7105010000,9.230653507,118519100,69918342.86,66639400,94996615,0.190301667,0.181405429,0.1825725,0.18938955,3892.35,3780.192857,3803.44,-0.858874141,2507.040039,2501.114293,2502.656006,0.408514388,0,-3.525841249,0.186119
20170926,0.181968,0.191247,0.180085,0.186119,70000700,6977340000,2.552248921,42063266.67,39145142.86,46562110,87653915,0.181131,0.178373857,0.1800819,0.1904066,3926.07,3784.852857,3776.709,6.604413985,2496.840088,2501.285714,2501.975,0.007216682,1,9.230653507,0.181487
20170925,0.175519,0.183665,0.174939,0.181487,35622600,6730080000,3.242560599,29555266.67,36865914.29,48011560,92318730,0.178385333,0.178077,0.1793782,0.19240995,3682.84,3804.728571,3747.854,-2.888935766,2496.659912,2502.687116,2502.313989,-0.222205044,1,2.552248921,0.175787
20170924,0.178175,0.178939,0.174165,0.175787,20566500,6831900000,-1.177747046,30095966.67,44405242.86,73390700,102669400,0.175726333,0.17926,0.1793653,0.19409505,3792.4,3790.448571,3695.065,4.453686617,2502.219971,2503.717146,2502.670996,0,1,3.242560599,0.177882
20170923,0.173371,0.178672,0.171527,0.177882,32476700,6647700000,2.519739496,37768200,48490185.71,86587350,113621725,0.174382,0.179632286,0.1782033,0.1955541,3630.7,3766.54,3704.084,-0.009363708,2502.219971,2503.432861,2502.011011,0,0,-1.177747046,0.17351
